"gene_names","sample1m","sample2m","sample3m","sample4m","sample5m","sample6m","sample7m","sample8m","sample9m","sample10m"
"LOC344887","0","0","0","1","1","1","2","2","0","0"
"LOC374443","2","7","3","1","0","1","3","5","5","0"
"LOC388282","0","0","0","0","2","0","0","1","0","0"
"LOC388406","0","0","0","0","0","0","0","0","2","0"
"LOC388780","9","4","0","0","2","1","2","0","0","0"
"LOC388849","0","0","0","0","0","0","0","1","0","0"
"LOC388942","0","0","0","0","0","0","3","2","0","0"
"LOC389247","0","0","0","0","1","4","0","0","0","1"
"LOC389332","0","0","0","0","1","0","0","5","0","0"
"LOC389602","7","0","0","3","0","6","15","17","0","2"
"LOC389641","7","1","1","0","2","5","4","1","3","1"
"LOC389705","2","0","0","0","0","0","0","0","0","0"
"LOC389765","0","1","5","2","0","3","1","0","1","0"
"LOC389906","1","4","4","4","2","1","7","0","20","2"
"LOC391322","9","1","0","3","0","0","0","0","6","1"
"LOC392232","0","0","0","0","0","0","0","0","0","1"
"LOC400043","2","4","4","71","59","20","34","22","73","73"
"LOC400684","0","0","0","0","3","0","0","0","0","2"
"LOC400706","4","0","0","0","0","0","0","0","0","0"
"LOC400794","0","1","0","0","0","0","0","0","0","0"
"LOC400867","0","3","3","0","0","0","0","0","0","0"
"LOC400927","1","0","0","0","1","0","0","0","0","0"
"LOC400940","0","1","0","0","0","0","0","0","1","0"
"LOC401052","0","2","2","0","0","2","2","0","4","0"
"LOC401134","1","0","0","0","0","0","0","0","0","0"
"LOC401286","7","2","0","0","0","0","0","0","0","0"
"LOC401320","12","19","24","8","19","5","8","6","9","6"
"LOC403312","0","1","0","0","0","0","5","0","0","0"
"LOC403323","0","0","0","0","0","3","2","6","4","1"
"LOC439933","0","0","0","0","0","0","9","0","0","0"
"LOC439994","12","10","7","6","7","2","3","2","0","39"
"LOC440028","0","0","0","0","0","2","3","1","0","0"
"LOC440040","0","0","0","0","0","0","0","0","0","2"
"LOC440173","1","7","6","0","0","0","0","0","0","0"
"LOC440300","2","15","21","14","12","4","8","0","5","2"
"LOC440390","0","1","0","0","0","0","0","0","0","0"
"LOC440434","3","8","10","6","14","11","6","7","5","8"
"LOC440600","0","2","0","0","0","0","0","0","0","0"
"LOC440700","0","0","0","0","0","0","6","0","0","0"
"LOC440910","0","3","2","0","0","0","0","0","0","0"
"LOC441081","21","20","14","39","51","21","20","16","56","47"
"LOC441155","0","0","0","0","0","0","0","0","0","1"
"LOC441178","6","5","1","0","0","0","0","0","0","0"
"LOC441204","0","1","0","0","0","0","0","0","0","0"
"LOC441242","1","3","1","0","6","3","2","4","6","3"
"LOC441454","0","2","0","0","0","0","0","0","1","1"
"LOC441666","7","2","0","0","0","0","0","0","0","0"
"LOC442497","1","0","0","0","0","0","0","0","0","0"
"LOC541473","0","0","0","0","0","0","0","0","1","0"
"LOC553103","1","0","0","0","2","0","0","0","0","1"
"LOC55338","0","3","2","0","0","0","0","0","0","0"
"LOC554206","0","1","0","2","0","0","0","0","0","0"
"LOC554223","0","0","0","0","0","0","3","0","0","0"
"LOC613037","1","3","1","3","0","1","3","0","2","2"
"LOC641746","0","0","0","0","0","0","0","0","0","1"
"LOC642236","7","12","50","2","1","7","6","11","2","1"
"LOC642361","25","25","11","12","3","6","7","5","4","1"
"LOC642366","0","0","0","12","0","0","0","0","2","0"
"LOC642776","3","3","5","11","7","0","0","0","2","2"
"LOC642846","1","0","1","1","0","2","1","0","5","4"
"LOC642852","2","3","1","5","17","13","0","2","3","0"
"LOC643072","5","2","0","4","5","1","1","4","1","1"
"LOC643201","6","22","7","19","15","0","0","0","11","9"
"LOC643387","0","0","1","0","0","0","1","0","1","1"
"LOC643406","1","13","15","5","7","3","4","2","4","6"
"LOC643542","0","0","0","0","0","0","0","0","0","2"
"LOC643733","58","54","43","0","0","2","0","1","3","2"
"LOC643770","1","0","0","2","0","4","2","2","0","1"
"LOC644189","0","0","0","0","0","0","0","0","0","2"
"LOC644656","2","0","0","4","0","1","4","1","0","2"
"LOC644919","4","3","0","0","0","1","0","5","1","0"
"LOC645166","6","2","10","0","0","1","0","1","1","0"
"LOC645434","0","0","0","0","0","0","0","0","1","0"
"LOC645513","0","0","7","3","0","0","0","0","0","1"
"LOC645949","0","0","0","0","1","0","0","0","0","0"
"LOC646214","1","11","7","0","5","1","6","2","1","1"
"LOC646471","0","0","1","0","0","0","0","0","0","6"
"LOC646626","14","11","45","2","1","4","1","8","0","0"
"LOC646762","9","6","6","11","15","4","6","5","7","1"
"LOC647323","0","0","0","0","0","0","1","0","0","0"
"LOC648987","7","8","15","1","0","3","6","1","15","3"
"LOC650226","0","0","0","0","0","4","0","0","0","0"
"LOC652276","34","52","70","24","28","21","8","17","16","7"
"LOC653160","0","1","0","48","2","0","0","0","0","0"
"LOC653513","5","0","0","0","0","0","1","0","0","0"
"LOC653602","6","16","6","4","0","1","2","1","0","0"
"LOC653712","0","0","0","0","0","0","1","0","0","0"
"LOC653786","0","0","0","0","0","4","11","1","1","0"
"LOC654342","11","10","13","4","6","16","12","8","5","8"
"LOC654841","0","0","0","1","0","1","0","0","0","1"
"LOC727896","42","50","34","11","20","11","10","7","6","10"
"LOC728024","0","0","1","0","0","5","0","0","1","0"
"LOC728095","0","0","0","3","0","0","0","0","0","0"
"LOC728175","0","0","0","2","1","0","0","0","0","0"
"LOC728323","34","9","10","21","10","9","12","10","13","14"
"LOC728392","0","1","2","0","0","3","1","0","4","0"
"LOC728554","34","36","30","25","41","41","41","48","28","36"
"LOC728613","8","13","10","7","0","11","7","13","19","4"
"LOC728673","0","1","0","0","0","0","1","3","0","1"
"LOC728730","20","16","17","19","26","15","13","19","5","7"
"LOC728743","7","3","4","5","9","4","0","12","17","9"
"LOC729083","0","0","0","0","0","0","1","0","0","0"
"LOC729218","1","2","0","3","15","1","2","1","6","1"
"LOC729348","610","510","522","96","132","120","103","54","72","44"
"LOC729603","4","4","6","1","2","15","4","5","3","5"
"LOC729609","1","0","0","0","0","0","0","0","0","0"
"LOC729658","0","0","0","0","0","0","0","0","1","0"
"LOC729683","0","0","1","0","0","2","4","0","0","0"
"LOC729732","0","6","0","1","0","0","0","3","1","0"
"LOC729737","12","16","26","5","2","2","7","5","0","0"
"LOC729867","0","2","0","0","0","0","0","0","0","0"
"LOC729950","1","0","5","0","0","0","0","0","0","0"
"LOC729966","35","81","76","157","65","24","61","57","85","135"
"LOC729970","0","0","0","0","2","0","0","1","1","0"
"LOC730101","25","20","17","5","10","10","8","7","7","18"
"LOC730102","9","9","4","24","41","10","16","3","9","9"
"LOC730183","1","1","0","0","1","1","0","0","2","0"
"LOC730202","3","0","2","1","1","3","1","0","0","0"
"LOC731424","0","0","0","0","0","10","1","4","0","0"
"LOC80078","0","0","0","0","0","0","2","0","0","0"
"LOC81691","1","0","7","7","14","6","4","1","7","3"
"LOC90246","4","0","1","0","0","0","0","1","0","0"
"LOC90784","1","8","4","9","4","2","0","0","0","1"
"LOC91450","0","0","0","0","0","0","0","1","0","0"
"LOC93622","7","3","16","17","25","5","14","14","16","36"
"LOH12CR1","2","5","3","6","1","9","8","11","6","8"
"LOH12CR2","1","9","2","2","5","4","7","6","5","2"
"LONP1","44","80","81","49","44","68","80","38","87","67"
"LONP2","24","25","27","42","95","41","36","46","35","28"
"LONRF1","2","4","0","8","6","3","12","18","13","6"
"LONRF2","0","0","0","14","7","8","6","6","7","11"
"LONRF3","3","8","9","1","2","2","4","23","6","4"
"LOX","0","2","0","2","1","7","1","9","1","1"
"LOXL1","7","0","0","2","1","41","24","18","19","12"
"LOXL1-AS1","0","0","2","0","1","7","5","8","2","1"
"LOXL2","4","0","0","0","0","46","2","146","0","2"
"LOXL4","0","0","0","0","0","1","0","0","0","0"
"LPAR1","0","0","2","3","6","7","5","5","1","5"
"LPAR2","7","16","14","33","69","13","23","15","32","22"
"LPAR5","4","3","23","7","9","5","7","6","4","13"
"LPAR6","10","12","7","23","110","17","27","7","7","15"
"LPCAT1","7","8","21","8","11","29","31","34","3","8"
"LPCAT2","12","19","23","26","42","19","21","12","8","10"
"LPCAT3","20","36","38","110","106","52","47","25","111","69"
"LPCAT4","85","183","163","98","86","17","26","16","30","29"
"LPGAT1","26","51","96","39","16","19","19","55","30","15"
"LPIN1","125","176","126","21","68","62","37","50","20","19"
"LPIN2","243","319","326","169","135","162","156","157","153","145"
"LPIN3","2","2","1","0","1","17","3","0","0","0"
"LPL","0","0","0","0","0","1","16","2","0","1"
"LPP","123","262","198","168","145","204","165","418","128","154"
"LPP-AS1","0","0","0","1","0","0","0","0","0","0"
"LPP-AS2","0","1","0","3","1","2","3","3","1","3"
"LPPR2","7","7","6","10","3","8","5","3","2","8"
"LPPR3","0","0","0","4","0","0","0","0","0","0"
"LPXN","11","3","0","8","2","26","21","25","18","38"
"LRAT","0","0","0","0","0","0","0","0","1","1"
"LRBA","7","30","36","38","44","20","24","21","38","35"
"LRCH1","7","20","13","34","27","19","22","21","20","23"
"LRCH2","0","0","0","0","0","0","0","2","0","0"
"LRCH3","7","0","2","1","4","2","4","3","0","1"
"LRCH4","11","8","5","3","3","2","5","4","0","3"
"LRFN1","0","0","0","0","0","0","0","0","3","0"
"LRFN3","0","4","0","5","4","1","2","6","9","6"
"LRFN4","7","8","8","11","6","26","27","14","13","3"
"LRG1","38","48","34","46","30","49","34","27","19","35"
"LRGUK","0","3","1","0","1","0","0","0","1","1"
"LRIF1","10","16","12","17","7","26","26","23","12","21"
"LRIG1","1","5","1","33","39","11","9","7","14","5"
"LRIG2","8","8","14","12","6","2","4","2","5","7"
"LRIG3","0","19","0","38","47","8","21","18","24","11"
"LRIT2","0","1","0","0","0","0","0","0","0","0"
"LRIT3","0","0","0","1","0","0","0","0","0","0"
"LRMP","11","8","0","0","0","0","1","0","3","0"
"LRP1","23","38","61","23","23","114","81","56","28","8"
"LRP10","275","453","337","90","139","132","174","177","58","90"
"LRP11","15","22","15","34","25","18","28","12","33","43"
"LRP12","0","0","4","5","0","4","3","1","3","2"
"LRP1B","0","0","0","0","0","5","0","0","0","0"
"LRP2","0","0","0","0","1","0","0","0","0","0"
"LRP2BP","0","0","1","1","0","0","2","2","4","1"
"LRP3","1","1","7","5","5","6","6","6","14","9"
"LRP4","1","2","0","0","3","0","2","0","0","0"
"LRP5","57","53","53","106","34","28","29","32","21","25"
"LRP5L","2","3","21","12","4","2","1","2","18","1"
"LRP6","14","32","66","65","43","22","15","19","36","30"
"LRP8","6","9","9","0","0","3","3","3","1","0"
"LRPAP1","73","63","40","150","141","251","236","234","143","107"
"LRPPRC","34","56","97","89","60","70","59","76","72","62"
"LRR1","11","9","3","13","5","18","20","16","19","25"
"LRRC1","26","24","30","71","32","25","24","16","16","24"
"LRRC10B","0","1","0","0","0","4","0","5","0","0"
"LRRC14","0","10","1","2","3","2","11","12","9","5"
"LRRC16A","23","54","87","40","81","26","12","15","12","12"
"LRRC16B","0","0","0","0","0","0","0","0","1","0"
"LRRC17","0","4","0","21","37","2","7","3","36","28"
"LRRC19","0","10","3","2","0","0","0","0","4","2"
"LRRC2","0","1","0","17","28","4","5","2","3","5"
"LRRC20","2","1","11","2","1","7","3","0","3","7"
"LRRC23","0","2","9","19","3","3","2","4","4","2"
"LRRC25","1","0","22","6","6","6","11","5","3","1"
"LRRC26","86","43","89","23","5","3","9","8","26","31"
"LRRC27","11","21","1","14","18","9","15","3","8","3"
"LRRC28","4","4","8","7","8","11","12","26","21","5"
"LRRC29","0","0","3","0","1","2","1","0","11","0"
"LRRC3","0","0","0","1","0","1","1","0","0","0"
"LRRC31","5","2","8","13","4","7","4","2","1","0"
"LRRC32","10","19","27","0","0","15","8","49","1","0"
"LRRC34","0","1","4","4","0","2","2","1","0","2"
"LRRC36","0","0","0","4","3","1","1","0","1","0"
"LRRC37A2","3","0","0","0","6","2","2","2","1","2"
"LRRC37A3","1","8","8","0","0","0","0","0","0","0"
"LRRC37A4P","1","7","11","25","16","21","25","10","29","15"
"LRRC37A6P","3","6","8","0","0","2","0","1","0","0"
"LRRC37A8P","0","0","0","0","0","4","0","0","0","0"
"LRRC37B","0","12","12","4","2","2","3","1","0","1"
"LRRC37BP1","11","20","34","11","14","15","18","7","22","18"
"LRRC39","0","0","3","1","1","0","0","0","0","1"
"LRRC4","0","2","2","3","0","0","1","0","0","0"
"LRRC40","11","5","6","10","0","5","7","11","11","34"
"LRRC41","4","8","10","22","9","13","13","9","17","40"
"LRRC42","21","21","13","13","14","47","9","3","11","13"
"LRRC45","2","9","8","19","19","8","9","5","8","9"
"LRRC46","0","0","0","0","0","5","0","0","0","1"
"LRRC47","39","29","23","58","32","21","26","34","47","31"
"LRRC48","0","1","2","3","0","1","0","0","0","0"
"LRRC49","2","3","16","1","13","4","2","3","0","1"
"LRRC4B","0","0","0","0","0","0","0","1","0","0"
"LRRC56","0","0","0","0","0","1","0","1","0","0"
"LRRC57","22","32","18","4","8","8","16","4","18","17"
"LRRC58","39","47","87","45","42","83","42","55","84","141"
